file,child_process,broker,fetch,shell_string
ad_exploit.ts,1,0,0,1
adcs_audit.ts,1,0,0,2
agent_tools.ts,0,14,0,7
ai_agent_audit.ts,0,0,1,0
ai_manipulation.ts,0,0,1,0
ai_recon.ts,1,0,3,0
aitm_proxy.ts,1,0,0,2
anti_analysis.ts,1,0,0,0
anti_forensics.ts,1,0,0,1
app_security_engine.ts,0,0,1,0
_base.ts,0,4,0,0
_integrations.ts,0,2,0,0
_operational.ts,1,14,0,3
ai_ml_attacks.ts,0,3,0,2
airgap_bridge.ts,0,3,0,0
anti_forensics_advanced.ts,0,3,0,0
evasion_engine.ts,0,3,0,0
fileless_implant.ts,0,3,0,0
firmware_implant.ts,0,3,0,0
hardware_implant.ts,0,2,0,0
hypervisor_rootkit.ts,0,3,0,2
kerberos_advanced.ts,0,3,0,0
network_exploit.ts,0,0,0,1
rat_builder.ts,0,3,0,0
satellite_c2.ts,0,3,0,2
ss7_exploit.ts,0,3,0,1
supply_chain_implant.ts,0,3,0,0
zero_day_fuzzer.ts,0,6,0,0
atlas_arsenal.ts,0,0,2,0
attack_surface.ts,0,0,0,3
auto_research.ts,0,0,2,0
bountyhunter.ts,1,0,4,0
browser_ext.ts,0,0,2,0
c2.ts,0,0,0,4
c2_channels.ts,0,0,5,0
c2_infra.ts,0,0,6,3
c2_ops.ts,0,0,1,0
c2_platform.ts,0,0,24,0
caldera_ttp.ts,1,0,0,0
campaign.ts,0,2,0,0
cdp_client.ts,0,0,3,0
cicd_k8s_audit.ts,1,0,0,1
cicd_supplychain.ts,1,0,0,2
cloud.ts,1,0,1,0
cloud_token.ts,0,0,5,0
container.ts,1,0,0,5
container_k8s.ts,1,0,0,3
counter_intel.ts,1,0,0,1
cred_access_auto.ts,0,3,0,0
cred_dump.ts,1,0,0,1
deaddrop.ts,0,0,1,1
ebpf_audit.ts,1,0,0,1
edge_appliance_audit.ts,1,0,0,1
edr_evasion.ts,0,0,0,1
engagement_watch.ts,0,4,0,0
esxi_audit.ts,1,0,0,2
evasion.ts,1,0,0,0
exfil.ts,0,0,1,0
exfil_channels.ts,0,0,1,0
exploit_adapter.ts,0,5,0,0
http_state_fuzzer.ts,0,6,0,2
hybrid_ad_entra.ts,1,0,0,1
identity.ts,1,0,1,0
identity_chain.ts,0,5,0,0
identity_playbooks.ts,0,5,0,1
identity_prt.ts,1,0,1,0
identity_theft.ts,0,0,1,0
idp_oauth_audit.ts,0,0,4,0
implant_gen.ts,1,0,2,2
infra.ts,0,0,2,0
intel_feeds.ts,0,5,2,2
lateral.ts,1,0,0,1
live_ad_attacks.ts,1,0,0,0
live_cred_attacks.ts,1,0,0,3
live_executor.ts,1,6,0,1
live_pivot.ts,1,0,0,0
live_postex.ts,1,0,0,1
live_privesc.ts,1,0,0,0
live_recon.ts,1,0,0,0
live_scanner.ts,1,0,0,1
live_web_exploit.ts,1,0,0,2
llm_client.ts,0,0,3,0
lolbins_audit.ts,0,0,0,1
mcp_server.ts,1,5,0,0
meterpreter.ts,0,0,0,1
mobile.ts,1,0,0,1
msf_client.ts,1,0,0,0
multi_cloud_asm.ts,0,5,0,0
multi_lang.ts,0,0,0,2
net_device.ts,1,0,0,2
oauth_chain.ts,0,0,2,0
opencode_bootstrap.ts,0,0,0,1
operational_depth_score.ts,0,0,0,1
parameter_analyzer.ts,0,0,1,0
pdf_report.ts,0,0,0,1
pentagi_docker.ts,1,0,0,2
pentestgpt_agent.ts,0,4,0,0
persistence.ts,0,2,0,0
pivot_replay.ts,1,0,0,1
privesc_chains.ts,0,4,0,0
raas_advanced.ts,1,0,2,5
raas_engine.ts,1,0,1,1
raas_wallet.ts,1,0,1,1
repl.ts,0,0,0,1
runtime_capability.ts,1,0,0,4
runtime_exec.ts,1,3,0,0
sandbox_runner.ts,1,0,0,1
skills.ts,0,0,0,8
social_eng.ts,0,0,0,1
social_eng_auto.ts,0,0,1,1
stego_c2.ts,0,0,0,1
stix_ingest.ts,0,0,1,0
strix_engine.ts,0,0,5,0
supply_chain.ts,0,0,2,0
supply_chain_exec.ts,0,4,0,0
telecom_audit.ts,1,0,0,1
tier1_validation.ts,0,10,0,3
tool_broker.ts,1,5,0,1
tool_detection.ts,1,0,0,10
toolkit.ts,0,0,2,4
top_cut_score.ts,0,2,0,0
uefi_bootkit_audit.ts,1,0,0,2
validation_engine.ts,0,6,0,1
validation_planner.ts,0,0,0,4
vuln_research.ts,0,0,1,0
web_exploit.ts,0,0,2,1
webmail_exploit.ts,1,0,2,4
which.ts,1,0,0,3
